"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3095","Add one product to cart","","Fri Jun 06 18:58:19 BDT 2025","passed","Fri Jun 06 18:58:23 BDT 2025","","Cart functionality","",""
"","10768","Responsive in tab and portrait","","Fri Jun 06 18:59:44 BDT 2025","passed","Fri Jun 06 18:59:55 BDT 2025","","UI and responsiveness","",""
"","1361","Remove product from cart page","","Fri Jun 06 18:58:27 BDT 2025","passed","Fri Jun 06 18:58:28 BDT 2025","","Cart functionality","",""
"","803","Login with empty username","","Fri Jun 06 18:58:13 BDT 2025","passed","Fri Jun 06 18:58:14 BDT 2025","","Authentication","",""
"","1595","Visit product detail page with invalid product ID","","Fri Jun 06 18:59:01 BDT 2025","passed","Fri Jun 06 18:59:02 BDT 2025","","Inventory and product listing","",""
"","890","Login with invalid password","","Fri Jun 06 18:58:12 BDT 2025","passed","Fri Jun 06 18:58:13 BDT 2025","","Authentication","",""
"","2321","View product details page","","Fri Jun 06 18:58:58 BDT 2025","passed","Fri Jun 06 18:59:01 BDT 2025","","Inventory and product listing","",""
"","10949","Responsive in pc","","Fri Jun 06 19:00:06 BDT 2025","passed","Fri Jun 06 19:00:17 BDT 2025","","UI and responsiveness","",""
"","1197","Remove already removed product","","Fri Jun 06 18:58:28 BDT 2025","passed","Fri Jun 06 18:58:29 BDT 2025","","Cart functionality","",""
"","3867","Login with valid standard user","","Fri Jun 06 18:58:05 BDT 2025","passed","Fri Jun 06 18:58:09 BDT 2025","","Authentication","",""
"","3208","Complete order","","Fri Jun 06 18:58:42 BDT 2025","passed","Fri Jun 06 18:58:45 BDT 2025","","Checkout process","",""
"","3705","Logout from burger menu","","Fri Jun 06 18:59:07 BDT 2025","passed","Fri Jun 06 18:59:10 BDT 2025","","Session management","",""
"","1325","Sort product by price","","Fri Jun 06 18:58:57 BDT 2025","passed","Fri Jun 06 18:58:58 BDT 2025","","Inventory and product listing","",""
"","808","Login with empty password","","Fri Jun 06 18:58:14 BDT 2025","passed","Fri Jun 06 18:58:15 BDT 2025","","Authentication","",""
"","11695","Responsive in mobile and landscape","","Fri Jun 06 18:59:32 BDT 2025","passed","Fri Jun 06 18:59:44 BDT 2025","","UI and responsiveness","",""
"","2383","Add multiple products to cart","","Fri Jun 06 18:58:23 BDT 2025","passed","Fri Jun 06 18:58:25 BDT 2025","","Cart functionality","",""
"","2048","Sort products by name","","Fri Jun 06 18:58:55 BDT 2025","passed","Fri Jun 06 18:58:57 BDT 2025","","Inventory and product listing","",""
"","11973","Responsive in mobile and potrait","","Fri Jun 06 18:59:20 BDT 2025","passed","Fri Jun 06 18:59:31 BDT 2025","","UI and responsiveness","",""
"","1197","Remove product from inventory view","","Fri Jun 06 18:58:25 BDT 2025","passed","Fri Jun 06 18:58:27 BDT 2025","","Cart functionality","",""
"","3727","Proceed to checkout","","Fri Jun 06 18:58:34 BDT 2025","passed","Fri Jun 06 18:58:38 BDT 2025","","Checkout process","",""
"","2840","View product list","","Fri Jun 06 18:58:52 BDT 2025","passed","Fri Jun 06 18:58:54 BDT 2025","","Inventory and product listing","",""
"","2164","Login with locked out user","","Fri Jun 06 18:58:09 BDT 2025","passed","Fri Jun 06 18:58:11 BDT 2025","","Authentication","",""
"","1667","Use browser back after logout","","Fri Jun 06 18:59:14 BDT 2025","passed","Fri Jun 06 18:59:15 BDT 2025","","Session management","",""
"","3762","Submit valid checkout info","","Fri Jun 06 18:58:38 BDT 2025","passed","Fri Jun 06 18:58:42 BDT 2025","","Checkout process","",""
"","2751","Login again after logout","","Fri Jun 06 18:59:11 BDT 2025","passed","Fri Jun 06 18:59:13 BDT 2025","","Session management","",""
"","893","Login with invalid username","","Fri Jun 06 18:58:11 BDT 2025","passed","Fri Jun 06 18:58:12 BDT 2025","","Authentication","",""
"","10747","Responsive in tab and landscape","","Fri Jun 06 18:59:55 BDT 2025","passed","Fri Jun 06 19:00:06 BDT 2025","","UI and responsiveness","",""
"","1806","Submit checkout form with empty fields","","Fri Jun 06 18:58:45 BDT 2025","passed","Fri Jun 06 18:58:47 BDT 2025","","Checkout process","",""
